0,1999,13690,1855,79,1581,1
1,375,2496,1763,86,1598,1
2,1359,2441,1777,49,1701,1
3,1363,2610,1904,49,1820,1
4,372,6937,1721,70,1626,1
5,1367,2570,1849,86,1682,1
6,1372,4832,1945,84,1686,1
7,361,2736,1795,44,1725,1
8,381,2497,1769,84,1530,1
9,1408,2643,1892,50,1804,1
10,339,2506,1777,84,1546,1
11,1423,2456,1733,89,1618,1
12,334,2546,1832,85,1597,1
13,1427,2370,1730,50,1653,1
14,329,2603,1983,49,1906,1
15,327,2350,1622,47,1540,1
16,1432,2594,1862,86,1678,1
17,1410,2476,1735,78,1631,1
18,1441,9216,1657,64,1567,1
19,382,2635,1873,48,1798,1
20,1332,2585,1842,85,1685,1
21,1237,2525,1883,48,1802,1
22,1248,2226,1579,50,1493,1
23,1253,2033,1296,84,1151,1
24,1263,2534,1893,48,1820,1
25,433,2421,1694,95,1563,1
26,1273,13212,1789,59,1694,1
27,423,2716,1945,83,1712,1
28,1344,2426,1817,51,1731,1
29,418,12723,1885,67,1783,1
30,1297,7647,1666,49,1581,1
31,1298,2246,1475,85,1255,1
32,1305,2717,1942,83,1760,1
33,403,5662,1407,48,1336,1
34,1311,2577,1910,49,1836,1
35,1312,2394,1684,50,1597,1
36,1321,4466,1957,55,1875,1
37,410,2516,1760,49,1675,1
38,1452,4085,1895,48,1812,1
39,316,2089,1419,47,1356,1
40,1461,2674,1995,50,1919,1
41,1605,2435,1797,51,1711,1
42,1627,21772,1603,60,1516,1
43,1630,1877,1147,85,1013,1
44,210,1840,1239,87,1137,1
45,209,12268,1421,49,1356,1
46,1644,2418,1729,48,1647,1
47,1649,2053,1428,48,1353,1
48,218,2368,1611,49,1535,1
49,1659,2629,1900,85,1738,1
50,1668,2507,1877,48,1803,1
51,1683,31415,1725,55,1643,1
52,1707,2443,1683,75,1581,1
53,181,2381,1672,48,1596,1
54,180,1975,1343,47,1280,1
55,1714,2576,1941,49,1865,1
56,1721,20659,1887,55,1807,1
57,1661,2639,1975,49,1892,1
58,219,1966,1218,84,1059,1
59,1603,2266,1517,48,1442,1
60,233,2345,1711,48,1627,1
61,1464,2545,1880,49,1796,1
62,302,2590,1873,48,1789,1
63,1483,25345,1606,51,1517,1
64,295,2683,1927,104,1713,1
65,292,2519,1889,52,1803,1
66,1487,2550,1842,47,1769,1
67,1489,2435,1815,49,1739,1
68,1513,5335,1796,48,1713,1
69,1518,2548,1879,48,1796,1
70,1524,2267,1549,82,1426,1
71,272,2656,1842,83,1576,1
72,253,2704,1941,83,1772,1
73,1553,2477,1647,66,1555,1
74,1562,2196,1632,48,1546,1
75,1570,2181,1435,87,1332,1
76,1573,2597,1871,86,1721,1
77,1577,2492,1862,49,1786,1
78,1232,2254,1643,50,1567,1
79,1225,2135,1534,48,1461,1
80,457,2347,1613,47,1539,1
81,1217,2595,1941,49,1856,1
82,847,5177,1547,85,1290,1
83,848,2663,1855,86,1615,1
84,638,2029,1341,49,1266,1
85,636,2576,1850,84,1702,1
86,867,9973,1885,52,1798,1
87,877,7025,1873,48,1788,1
88,878,2575,1926,48,1852,1
89,844,2512,1876,50,1800,1
90,883,7655,1961,54,1875,1
91,895,2417,1804,87,1684,1
92,909,2691,1957,86,1708,1
93,918,9401,1926,48,1842,1
94,935,13630,1808,79,1703,1
95,607,4439,1283,54,1205,1
96,980,2524,1867,49,1792,1
97,984,1802,1164,51,1097,1
98,892,7701,1804,91,1584,1
99,841,2641,1952,49,1877,1
100,832,2347,1585,47,1512,1
101,828,11609,1856,48,1782,1
102,733,3011,1557,65,1466,1
103,721,14452,1696,56,1614,1
104,718,2518,1835,83,1695,1
105,739,14833,1905,70,1798,1
106,715,2592,1944,49,1868,1
107,755,8203,1574,48,1490,1
108,697,4751,1722,55,1641,1
109,760,2414,1749,50,1662,1
110,694,7552,1791,49,1707,1
111,768,2013,1405,49,1331,1
112,773,10407,1938,56,1846,1
113,679,2592,1865,79,1751,1
114,782,2304,1620,84,1365,1
115,789,2303,1663,47,1590,1
116,662,2101,1453,48,1389,1
117,659,2486,1752,82,1580,1
118,654,2181,1733,46,1654,1
119,582,2581,1860,79,1754,1
120,1743,3084,1984,46,1912,1
121,996,14712,1897,118,1744,1
122,574,2183,1565,51,1477,1
123,1134,2367,1616,84,1328,1
124,1136,4334,1857,51,1768,1
125,1137,2105,1433,49,1356,1
126,1147,2628,1929,49,1853,1
127,498,4502,1841,66,1749,1
128,1156,2547,1874,47,1801,1
129,489,2643,1907,83,1752,1
130,1106,2578,1945,51,1867,1
131,478,2206,1501,49,1416,1
132,1189,2246,1607,49,1532,1
133,473,2135,1504,52,1426,1
134,472,2434,1746,49,1662,1
135,1195,2119,1464,50,1398,1
136,466,3823,1707,72,1610,1
137,463,4139,1774,55,1692,1
138,1211,2666,1989,51,1911,1
139,1185,2632,1919,83,1722,1
140,523,2488,1580,47,1496,1
141,1088,11184,1437,85,1218,1
142,532,3454,1784,67,1676,1
143,572,2412,1703,48,1629,1
144,1009,4075,1847,83,1619,1
145,566,2440,1703,49,1620,1
146,1018,2131,1491,48,1417,1
147,1023,2206,1568,49,1492,1
148,1026,9443,1205,50,1139,1
149,1031,4614,1780,47,1697,1
150,1032,2563,1823,73,1716,1
151,1034,2658,1959,51,1870,1
152,1038,2175,1506,48,1423,1
153,1045,2126,1396,48,1332,1
154,1060,2231,1633,50,1556,1
155,1066,2699,1965,70,1869,1
156,1068,1938,1271,47,1208,1
157,545,13693,1780,206,1547,1
158,1073,4070,1733,94,1570,1
159,1084,2194,1566,48,1481,1
160,1005,2607,1962,50,1876,1
161,1744,2378,1723,51,1645,1
162,362,2121,1416,48,1335,1
163,49,2266,1597,48,1523,1
164,129,6183,1892,53,1805,1
165,58,2394,1681,86,1546,1
166,57,2730,1988,84,1800,1
167,1919,2258,1656,49,1580,1
168,1795,1858,1231,47,1168,1
169,1792,2465,1783,48,1697,1
170,1929,1716,1124,49,1059,1
171,1803,9963,1174,53,1094,1
172,44,2246,1667,47,1595,1
173,1933,2524,1884,50,1799,1
174,1790,2294,1688,48,1603,1
175,1789,15825,1764,89,1639,1
176,25,3009,1689,68,1593,1
177,24,5050,1604,60,1517,1
178,1767,2529,1863,47,1790,1
179,20,7852,1813,50,1717,1
180,43,2617,1979,49,1905,1
181,1804,2159,1547,51,1461,1
182,1916,2401,1724,50,1648,1
183,1915,2738,1996,73,1871,1
184,1876,5596,1999,54,1919,1
185,111,2756,1622,92,1493,1
186,1879,7957,1576,56,1484,1
187,82,2351,1796,48,1714,1
188,1826,2632,1232,48,1169,1
189,78,2445,1689,68,1595,1
190,77,2423,1697,54,1465,1
191,116,2414,1784,47,1702,1
192,118,2043,1445,85,1344,1
193,1908,2630,1699,45,1627,1
194,73,2236,1645,49,1572,1
195,1911,2515,1835,50,1758,1
196,1810,3129,1734,84,1485,1
197,68,2479,1809,49,1733,1
198,67,8675,1895,49,1810,1
199,1913,4942,1712,47,1631,1
200,1805,2097,1492,50,1416,1
201,1762,2242,1601,48,1526,1
202,17,2330,1598,52,1519,1
203,100,4248,1938,84,1665,1
204,157,2455,1822,48,1747,1
205,1991,2266,1659,50,1573,1
206,154,2246,1548,84,1304,1
207,16,2296,1541,51,1453,1
208,1994,2152,1486,50,1409,1
209,1977,3763,1685,66,1568,1
210,160,2463,1822,48,1748,1
211,1108,3709,2971,84,2806,1
212,480,3498,2757,78,2653,1
213,1183,3120,2518,48,2435,1
214,6,3598,2878,54,2787,1
215,1187,2856,2156,48,2072,1
216,1188,2899,2168,83,2026,1
217,704,3555,2921,47,2839,1
218,751,25941,2224,49,2140,1
219,1180,3033,2383,49,2309,1
220,1894,5072,2044,61,1951,1
221,707,2630,2029,49,1953,1
222,75,3494,2882,50,2806,1
223,1199,16671,2133,64,2032,1
224,76,3353,2692,49,2618,1
225,1103,2943,2203,86,2043,1
226,743,3192,2462,85,2222,1
227,712,3082,2346,84,2056,1
228,1190,2792,2052,84,1914,1
229,1176,3453,2847,25,2787,1
230,1174,7798,2823,98,2597,1
231,1105,3228,2526,102,2388,1
232,1126,8735,2256,49,2171,1
233,1914,3168,2442,83,2294,1
234,1988,3142,2453,50,2365,1
235,65,3421,2793,48,2719,1
236,1141,3550,2807,84,2565,1
237,1143,3196,2525,50,2438,1
238,698,3208,2245,49,2162,1
239,757,3562,2826,84,2667,1
240,701,8358,2756,84,2509,1
241,1157,2857,2136,51,2047,1
242,491,2691,2049,51,1961,1
243,517,6376,2823,108,2582,1
244,1159,5869,2969,48,2885,1
245,702,3499,2755,84,2524,1
246,488,3404,2756,48,2682,1
247,62,2870,2188,48,2114,1
248,1169,4127,2534,86,2399,1
249,515,3342,2607,83,2395,1
250,79,2758,2136,48,2052,1
251,817,3226,2517,49,2431,1
252,1223,8895,2532,88,2297,1
253,1290,4850,2367,84,2081,1
254,1295,3701,2978,84,2737,1
255,1300,3456,2723,49,2637,1
256,1303,2857,2218,49,2134,1
257,94,3494,2747,85,2609,1
258,1310,7596,2941,49,2855,1
259,401,3659,2901,84,2659,1
260,1857,2709,2004,86,1881,1
261,414,5845,2134,84,1892,1
262,98,3513,2286,72,2181,1
263,1854,2593,2000,50,1922,1
264,1323,8747,2587,82,2336,1
265,1325,8070,2368,82,2121,1
266,1326,2909,2198,85,1997,1
267,1327,2757,2095,88,1982,1
268,1851,5800,2670,48,2585,1
