0	1.773	4	3
1	1.577	4	3
2	1.951	6	5
3	1.646	6	6
4	1.685	12	11
5	1.807	4	2
6	1.777	3	2
7	1.893	5	4
8	1.665	3	2
9	1.753	4	3
10	1.860	3	3
11	1.940	6	5
12	1.604	2	2
13	1.829	4	3
14	1.659	13	12
15	1.895	24	16
16	1.732	2	1
17	1.635	2	1
18	1.878	2	2
19	1.764	13	12
20	1.613	7	1
21	2.121	10	9
22	1.821	5	4
23	1.729	15	15
24	1.650	5	1
25	1.580	3	1
26	1.851	5	4
27	1.803	3	2
28	1.808	21	20
29	1.650	2	2
30	1.633	3	2
31	1.944	5	4
32	1.726	28	28
33	1.740	12	11
34	2.008	7	6
35	1.705	19	12
36	1.731	5	4
37	2.031	5	4
38	1.815	8	7
39	1.811	2	2
40	1.650	6	2
41	1.795	8	8
42	1.752	5	4
43	1.659	2	1
44	1.631	2	1
45	1.851	2	2
46	1.835	7	7
47	1.872	3	2
48	1.989	6	5
49	1.628	2	1
50	2.086	3	3
51	1.808	12	12
52	1.912	13	2
53	1.953	6	2
54	1.674	12	11
55	1.939	3	3
56	1.872	4	2
57	1.631	2	1
58	1.677	2	1
59	1.962	6	5
60	1.689	8	7
61	1.738	5	4
62	1.899	2	2
63	1.707	10	9
64	1.839	3	3
65	1.786	3	2
66	1.742	16	15
67	1.615	8	1
68	1.648	2	1
69	1.789	46	45
70	1.897	20	3
71	1.601	2	1
72	2.145	44	8
73	1.894	59	19
74	1.750	4	3
75	1.763	3	2
76	1.853	3	2
77	1.643	2	1
78	1.665	2	1
79	1.637	2	2
80	1.988	6	6
81	1.629	2	2
82	1.651	2	1
83	1.961	4	3
84	1.766	4	4
85	1.832	35	34
86	1.766	16	14
87	2.010	6	5
88	2.062	7	6
89	1.738	3	2
90	1.789	4	3
91	1.843	6	5
92	1.998	11	10
93	1.965	6	5
94	1.648	3	2
95	1.856	4	3
96	1.977	21	20
97	1.629	3	2
98	2.071	28	8
99	2.033	21	21
100	1.652	4	1
101	1.795	4	3
102	1.670	2	2
103	1.822	4	3
104	2.088	6	4
105	2.131	14	11
106	1.956	4	3
107	1.731	3	3
108	1.842	29	29
109	1.618	2	1
110	1.632	27	2
111	1.736	10	7
112	1.828	3	3
113	1.720	50	22
114	1.865	3	2
115	1.870	3	2
116	1.648	2	1
117	1.671	4	2
118	1.660	2	1
119	1.830	4	3
120	2.013	22	21
121	1.768	16	4
122	1.748	11	8
123	1.729	21	20
124	1.741	24	3
125	1.917	25	4
126	1.790	10	9
127	2.001	8	4
128	1.764	13	6
129	1.623	6	1
130	1.882	4	3
131	1.786	3	2
132	1.879	6	3
133	1.781	8	7
134	2.008	11	4
135	1.806	12	11
136	1.797	28	27
137	1.754	9	8
138	2.155	8	7
139	1.803	4	4
140	1.888	22	21
141	1.826	5	3
142	2.009	9	5
143	1.966	4	4
144	1.732	11	10
145	2.098	9	7
146	1.633	2	2
147	1.901	9	9
148	1.670	12	12
149	1.640	11	2
150	1.659	2	2
151	1.951	9	9
152	1.870	11	2
153	1.914	7	6
154	1.658	2	1
155	1.874	4	3
156	1.683	14	13
157	1.671	2	1
158	1.833	4	4
159	1.887	5	4
160	1.624	2	1
161	1.875	4	3
162	1.650	3	2
163	1.930	8	7
164	1.862	4	3
165	2.060	22	19
166	1.946	6	5
167	1.720	8	7
168	1.945	17	16
169	1.686	26	9
170	1.789	5	4
171	1.740	8	7
172	1.658	16	9
173	1.714	18	17
174	1.675	13	8
175	1.630	2	2
176	1.937	7	7
177	1.684	10	8
178	1.993	11	10
179	1.838	5	4
180	1.621	1	1
181	1.665	2	1
182	1.777	5	4
183	1.907	3	2
184	1.987	20	20
185	1.792	4	3
186	1.926	8	4
187	1.793	20	15
188	1.805	15	3
189	1.705	17	10
190	2.096	5	5
191	2.057	8	7
192	1.934	9	9
193	1.781	3	3
194	1.898	5	4
195	1.649	2	2
196	1.928	6	5
197	1.821	27	26
198	1.773	10	4
199	1.812	15	10
200	1.860	3	3
201	1.754	15	15
202	1.968	7	6
203	1.624	2	2
204	1.738	11	11
205	1.729	18	17
206	1.745	22	21
207	1.747	7	6
208	1.763	18	17
209	1.618	12	1
210	1.676	1	1
211	1.867	4	3
212	2.009	6	6
213	2.067	6	6
214	1.833	7	4
215	1.781	4	3
216	1.895	4	3
217	1.723	14	11
218	1.649	2	1
219	1.591	1	1
220	1.783	3	3
221	1.910	3	2
222	1.721	12	11
223	1.648	10	2
224	1.865	4	3
225	1.744	16	11
226	1.871	3	2
227	1.718	10	9
228	1.124	8	2
229	1.640	15	6
230	1.760	4	3
231	1.851	3	3
232	1.794	3	3
233	1.643	2	1
234	1.779	3	2
235	1.813	12	11
236	2.059	7	4
237	1.677	9	8
238	1.703	16	15
239	1.511	9	8
240	1.733	8	7
241	2.003	5	5
242	1.845	6	3
243	1.847	5	5
244	1.907	5	4
245	1.826	4	3
246	1.728	28	28
247	1.811	33	11
248	1.990	35	12
249	1.591	40	17
250	1.883	3	2
251	1.684	21	10
252	1.704	10	9
253	1.633	2	1
254	1.766	18	17
255	1.786	20	2
256	1.899	4	3
257	1.734	4	3
258	1.866	4	3
259	1.770	11	10
260	1.838	3	3
261	1.664	10	9
262	1.638	3	2
263	1.989	5	4
264	1.857	3	2
265	1.871	5	4
266	1.669	4	2
267	1.875	8	2
268	2.110	8	7
269	1.812	7	7
270	1.912	4	3
271	1.871	19	18
272	1.863	2	1
273	1.755	17	14
274	2.182	22	8
275	2.019	6	5
276	1.712	4	3
277	1.848	4	3
278	1.789	4	3
279	1.722	9	9
280	2.015	5	5
281	1.781	5	5
282	1.959	11	5
283	1.669	8	7
284	1.820	4	4
285	1.722	17	13
286	2.035	10	3
287	1.763	14	10
288	1.816	5	3
289	1.732	8	5
290	1.747	5	5
291	1.657	10	9
292	1.642	2	1
293	1.794	4	3
294	1.658	3	2
295	1.625	2	1
296	1.666	2	2
297	2.052	3	2
298	1.868	4	3
299	1.647	2	2
300	1.644	2	2
301	2.088	6	5
302	1.656	2	1
303	1.730	14	13
304	1.983	4	3
305	1.761	30	29
306	1.872	31	4
307	1.761	5	2
308	1.708	7	3
309	1.770	37	8
310	1.704	16	13
311	1.711	10	10
312	2.115	9	8
313	1.815	5	5
314	1.658	7	6
315	1.793	3	2
316	1.641	2	1
317	1.726	2	2
318	2.072	5	4
319	1.836	4	3
320	1.629	2	2
321	1.905	6	5
322	2.049	4	4
323	2.046	5	5
324	1.930	8	4
325	1.745	6	5
326	1.826	4	3
327	1.625	2	1
328	1.632	2	2
329	1.624	2	1
330	1.856	16	15
331	1.902	5	4
332	1.972	6	5
333	1.715	25	19
334	1.639	2	1
335	1.779	13	12
336	1.933	11	5
337	2.058	16	5
338	1.861	5	3
339	1.646	2	1
340	1.771	29	28
341	1.891	5	4
342	1.876	3	2
343	1.848	4	3
344	1.690	9	8
345	1.809	14	14
346	1.702	12	11
347	1.715	9	9
348	1.881	10	9
349	1.679	5	2
350	1.797	4	3
351	1.904	5	4
352	1.697	10	9
353	1.781	9	3
354	1.689	10	9
355	1.631	8	2
356	2.074	5	4
357	1.891	3	2
358	1.976	5	4
359	1.920	4	3
360	1.601	2	1
361	1.896	8	3
362	1.655	2	1
363	1.877	4	4
364	1.641	2	2
365	1.907	4	3
366	1.979	4	4
367	1.785	4	4
