0,210,1840,1239,87,1137,1
1,1929,1716,1124,49,1059,1
2,1630,1877,1147,85,1013,1
3,219,1966,1218,84,1059,1
4,1068,1938,1271,47,1208,1
5,180,1975,1343,47,1280,1
6,984,1802,1164,51,1097,1
7,1795,1858,1231,47,1168,1
8,1668,2507,1877,48,1803,1
9,1156,2547,1874,47,1801,1
10,1157,2857,2136,51,2047,1
11,1661,2639,1975,49,1892,1
12,1804,2159,1547,51,1461,1
13,1659,2629,1900,85,1738,1
14,537,2739,2104,50,2027,1
15,707,2630,2029,49,1953,1
16,1185,2632,1919,83,1722,1
17,1187,2856,2156,48,2072,1
18,1188,2899,2168,83,2026,1
19,1189,2246,1607,49,1532,1
20,320,2707,2069,49,1994,1
21,1190,2792,2052,84,1914,1
22,272,2656,1842,83,1576,1
23,538,2646,2004,49,1920,1
24,1919,2258,1656,49,1580,1
25,718,2518,1835,83,1695,1
26,1915,2738,1996,73,1871,1
27,316,2089,1419,47,1356,1
28,317,2703,2102,49,2027,1
29,1134,2367,1616,84,1328,1
30,1916,2401,1724,50,1648,1
31,1137,2105,1433,49,1356,1
32,715,2592,1944,49,1868,1
33,302,2590,1873,48,1789,1
34,299,2635,2044,48,1970,1
35,1147,2628,1929,49,1853,1
36,296,2930,2279,48,2196,1
37,295,2683,1927,104,1713,1
38,1857,2709,2004,86,1881,1
39,292,2519,1889,52,1803,1
40,300,2809,2038,82,1849,1
41,1838,2761,2198,51,2122,1
42,1649,2053,1428,48,1353,1
43,1854,2593,2000,50,1922,1
44,195,2665,2031,47,1948,1
45,1298,2246,1475,85,1255,1
46,1303,2857,2218,49,2134,1
47,1305,2717,1942,83,1760,1
48,1311,2577,1910,49,1836,1
49,1312,2394,1684,50,1597,1
50,181,2381,1672,48,1596,1
51,1326,2909,2198,85,1997,1
52,1327,2757,2095,88,1982,1
53,175,2942,2207,84,1973,1
54,1332,2585,1842,85,1685,1
55,1344,2426,1817,51,1731,1
56,1353,2781,2154,48,2080,1
57,1959,2760,2101,51,2023,1
58,572,2412,1703,48,1629,1
59,566,2440,1703,49,1620,1
60,1195,2119,1464,50,1398,1
61,203,2799,2058,83,1830,1
62,1806,2953,2195,51,2108,1
63,1106,2578,1945,51,1867,1
64,253,2704,1941,83,1772,1
65,1211,2666,1989,51,1911,1
66,1933,2524,1884,50,1799,1
67,1217,2595,1941,49,1856,1
68,1225,2135,1534,48,1461,1
69,1232,2254,1643,50,1567,1
70,1237,2525,1883,48,1802,1
71,233,2345,1711,48,1627,1
72,1248,2226,1579,50,1493,1
73,1253,2033,1296,84,1151,1
74,1256,2902,2165,49,2079,1
75,218,2368,1611,49,1535,1
76,1263,2534,1893,48,1820,1
77,1805,2097,1492,50,1416,1
78,679,2592,1865,79,1751,1
79,1103,2943,2203,86,2043,1
80,327,2350,1622,47,1540,1
81,328,2805,2092,47,2009,1
82,782,2304,1620,84,1365,1
83,895,2417,1804,87,1684,1
84,896,2820,2077,83,1780,1
85,779,2830,2103,84,1876,1
86,1746,2934,2263,48,2179,1
