1	0.400	0.400
2	11.500	11.900
3	11.050	22.950
4	13.200	36.150
5	8.500	44.650
6	6.900	51.550
7	5.200	56.750
8	4.700	61.450
9	4.950	66.400
10	4.750	71.150
11	3.650	74.800
12	2.950	77.750
13	2.650	80.400
14	2.250	82.650
15	2.000	84.650
16	1.700	86.350
17	1.700	88.050
18	1.450	89.500
19	1.300	90.800
20	1.300	92.100
21	1.300	93.400
22	0.600	94.000
23	0.650	94.650
24	0.700	95.350
25	0.600	95.950
26	0.400	96.350
27	0.250	96.600
28	0.700	97.300
29	0.450	97.750
30	0.250	98.000
31	0.450	98.450
33	0.100	98.550
35	0.150	98.700
36	0.150	98.850
37	0.150	99.000
39	0.150	99.150
40	0.150	99.300
43	0.050	99.350
44	0.050	99.400
45	0.100	99.500
46	0.200	99.700
49	0.050	99.750
50	0.100	99.850
54	0.050	99.900
59	0.100	100.000
